LoFi Generative Sequencer,,,,
Bill of Materials,,,,
,,,,
PART,QUANTITY,COMMENT,SUPPLIER,LINK
ESP32-C3 supermini,1,,Aliexpress,https://www.aliexpress.com/item/1005007663345442.html
Button Green,1,Play,Tayda,https://www.taydaelectronics.com/push-button-switch-momentary-spst-2-pin-green-round-cap.html
Button Blue,1,Generate,Tayda,https://www.taydaelectronics.com/push-button-switch-momentary-spst-3a-250vac-blue.html
Pot,4,10Kohm,Tayda,https://www.taydaelectronics.com/potentiometer-variable-resistors/rotary-potentiometer/linear/10k-ohm-linear-taper-potentiometer-with-solder-lugs.html
Pot Cap White,1,"Split Shaft, 4 colors",Tayda,https://www.taydaelectronics.com/electromechanical/switches-key-pad/knobs/black-knob-white-top-shaft-diameter-6-mm-split-shaft.html
Pot Cap Red,1,"Split Shaft, 4 colors",Tayda,
Pot Cap Yellow,1,"Split Shaft, 4 colors",Tayda,
Pot Cap Green,1,"Split Shaft, 4 colors",Tayda,
Switch,1,Toggle On/Off,Tayda,https://www.taydaelectronics.com/mini-toggle-switch-spdt-on-on.html
Wire (dupont) pack of 40,2,M to M dupont cables 300mm 16 wires per instrument,Tayda,https://www.taydaelectronics.com/premium-jumper-wires-male-male-300mm-pack-of-40.html
LED Red,1,5mm,Tayda,https://www.taydaelectronics.com/led-5mm-green.html
LED Green,1,5mm,Tayda,https://www.taydaelectronics.com/led-5mm-green.html
Capacitors (LPF),1,0.1uF 104,Tayda,https://www.taydaelectronics.com/0-1uf-50v-ceramic-disc-capacitor-pkg-of-10-aec.html
Resitors (LED),2,220 Ohm,Tayda,https://www.taydaelectronics.com/resistors/1-4w-carbon-film-resistors/10-x-resistor-220-ohm-1-4w-5-carbon-film-pkg-of-10.html
Resistor (LPF),1,10 K Ohm,Tayda,https://www.taydaelectronics.com/resistors/1-4w-metal-film-resistors/10-x-resistor-10k-ohm-1-4w-1-metal-film-pkg-of-10.html
Wood,1,4mm  ply 600 x 400,,
Solder,0.1,1mm,Aliexpress,https://www.aliexpress.com/item/1005006030104628.html
Speaker 100 mm,,AS3008 speaker,JayCar,https://www.jaycar.com.au/100mm-all-purpose-replacement-speaker/p/AS3008
Battery Case,1,"3 x AA, 47 x 57 x 14 mm",Aliexpress,https://www.aliexpress.com/item/1005006225310014.html
Batteries,3,3 x AA,Bunnings,https://www.bunnings.com.au/varta-aa-alkaline-batteries-30-pack_p4410236
Breadboard,1,Half size,Tayda,https://www.taydaelectronics.com/400-point-solder-less-plug-in-breadboard-white.html
Jump Wire Kit,0.1,840 piece kit to share,Aliexpress,https://www.aliexpress.com/item/1005007561943443.html
Postage,0.1,Tayda,,
Rubber Feet,4,,Aliexpress,https://www.aliexpress.com/item/1005005467943079.html
Crimping Kit,0.1,For battery case wires,Aliexpress,https://www.aliexpress.com/item/1005006604755767.html
Amp board,1,PAM8302A,Aliexpress,https://www.aliexpress.com/item/32596751630.html
Screw terminal,1,"3.5 mm 2 socket, for Amp Board",Aliexpress,https://www.aliexpress.com/item/4000091519786.html
Standoffs 10mm ,2,,Tayda,https://www.taydaelectronics.com/brass-standoff-spacer-screw-hex-female-m3x10mm-silver.html
Standoffs female 30mm ,2,,Tayda,https://www.taydaelectronics.com/brass-standoff-spacer-screw-hex-female-m3x30mm-silver.html
Standoffs male 30mm,2,,Tayda,https://www.taydaelectronics.com/brass-standoff-spacer-screw-hex-male-m3x30mm-silver.html
Audio Jack 6.35mm,1,Mono,Tayda,https://www.taydaelectronics.com/hardware-tools/6-35mm-1-4-plugs-jacks/6-35mm-1-4-mono-insulated-socket-jack-pcb-pins.html
Bolts for standoffs,8,M3 8mm,Tayda,https://www.taydaelectronics.com/m3-steel-truss-head-machine-screw-m3x8mm.html
Washers for speaker standoffs,4,M3,Tayda,https://www.taydaelectronics.com/washer-3-3mm-for-screw-m3.html